,sampler,feature_set,dimension,sample_size,classifier,accuracy,number_of_nan_rows,nan_test_idx
0,Latin Hypercube,disp,2,100,dtree,0.3333333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
1,Random walk,disp,2,100,dtree,0.1527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
2,Hilbert curve,disp,2,100,dtree,0.2777777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
3,Latin Hypercube,disp,5,100,dtree,0.20833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
4,Random walk,disp,5,100,dtree,0.06944444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
5,Hilbert curve,disp,5,100,dtree,0.25,0,"Int64Index([], dtype='int64', name='test_id')"
6,Latin Hypercube,disp,10,100,dtree,0.3472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
7,Random walk,disp,10,100,dtree,0.05555555555555555,0,"Int64Index([], dtype='int64', name='test_id')"
8,Hilbert curve,disp,10,100,dtree,0.2916666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
9,Latin Hypercube,disp,20,100,dtree,0.3611111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
10,Random walk,disp,20,100,dtree,0.1111111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
11,Hilbert curve,disp,20,100,dtree,0.3055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
12,Latin Hypercube,disp,2,100,knn,0.3055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
13,Random walk,disp,2,100,knn,0.08333333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
14,Hilbert curve,disp,2,100,knn,0.3055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
15,Latin Hypercube,disp,5,100,knn,0.2916666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
16,Random walk,disp,5,100,knn,0.125,0,"Int64Index([], dtype='int64', name='test_id')"
17,Hilbert curve,disp,5,100,knn,0.3194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
18,Latin Hypercube,disp,10,100,knn,0.2916666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
19,Random walk,disp,10,100,knn,0.1527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
20,Hilbert curve,disp,10,100,knn,0.4027777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
21,Latin Hypercube,disp,20,100,knn,0.4027777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
22,Random walk,disp,20,100,knn,0.1388888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
23,Hilbert curve,disp,20,100,knn,0.4166666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
24,Latin Hypercube,disp,2,100,rfc,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
25,Random walk,disp,2,100,rfc,0.09722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
26,Hilbert curve,disp,2,100,rfc,0.2916666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
27,Latin Hypercube,disp,5,100,rfc,0.25,0,"Int64Index([], dtype='int64', name='test_id')"
28,Random walk,disp,5,100,rfc,0.06944444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
29,Hilbert curve,disp,5,100,rfc,0.2361111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
30,Latin Hypercube,disp,10,100,rfc,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
31,Random walk,disp,10,100,rfc,0.18055555555555555,0,"Int64Index([], dtype='int64', name='test_id')"
32,Hilbert curve,disp,10,100,rfc,0.3472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
33,Latin Hypercube,disp,20,100,rfc,0.375,0,"Int64Index([], dtype='int64', name='test_id')"
34,Random walk,disp,20,100,rfc,0.125,0,"Int64Index([], dtype='int64', name='test_id')"
35,Hilbert curve,disp,20,100,rfc,0.4583333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
36,Latin Hypercube,disp,2,1000,dtree,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
37,Random walk,disp,2,1000,dtree,0.1527777777777778,1,"Int64Index([1364], dtype='int64', name='test_id')"
38,Hilbert curve,disp,2,1000,dtree,0.6111111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
39,Latin Hypercube,disp,5,1000,dtree,0.4444444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
40,Random walk,disp,5,1000,dtree,0.09722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
41,Hilbert curve,disp,5,1000,dtree,0.4861111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
42,Latin Hypercube,disp,10,1000,dtree,0.5694444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
43,Random walk,disp,10,1000,dtree,0.08333333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
44,Hilbert curve,disp,10,1000,dtree,0.5416666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
45,Latin Hypercube,disp,20,1000,dtree,0.5694444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
46,Random walk,disp,20,1000,dtree,0.09722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
47,Hilbert curve,disp,20,1000,dtree,0.6666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
48,Latin Hypercube,disp,2,1000,knn,0.5972222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
49,Random walk,disp,2,1000,knn,0.1527777777777778,1,"Int64Index([1364], dtype='int64', name='test_id')"
50,Hilbert curve,disp,2,1000,knn,0.6805555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
51,Latin Hypercube,disp,5,1000,knn,0.5555555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
52,Random walk,disp,5,1000,knn,0.1388888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
53,Hilbert curve,disp,5,1000,knn,0.5972222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
54,Latin Hypercube,disp,10,1000,knn,0.625,0,"Int64Index([], dtype='int64', name='test_id')"
